Age,Relationship Categories,relationship_other,Care giving experience,sole caregiver or not,hours spent for care_weekly,hours works at job,living situation,living situation_other,fund_ All the care they receive is free or donated,fund_family contributions,"fund_pension, savings, or retirement fund","fund_medicare, medicaid, SSDI, or VA benefits",fund_medical insurance,fund_long-term care insurance,fund_other,received_federal state local fund,"
lacking any support",training_support,access_support,group_support,counselling_support,respite care_support,loved one physician_support,financial_support,employer accommodation_support,support_other,unmet caregiver need_ none,unmet caregiver need_ employer accommodation,unmet caregiver need_training,unmet caregiver need_access,unmet caregiver need_groups,unmet caregiver need_counseling,unmet caregiver need_respite care,unmet caregiver need_loved one physician,unmet caregiver need_financial,unmet caregiver need_other,unmet caregiver need_none of the above,difficulties_obligation,difficulties_physical demands,difficulties_emotional stress,difficulties_life balance,difficulties_boundaries of commit to caregiving,Financial strain,difficulties_loss of sleep,difficulties_help needed not requested,difficulties_depression,difficulties_other,experience anxiety or depression,struggling with restful sleep,"
fluctuating appetite patterns","
difficulty connecting socially","
lost joy in activities",constantly feeling overwhelmed,mental state self description,feel trapped,losing temper,health issues hinder care,constant worry when away,fear of not doing enough,work_hours,Occupations,Name,Bio,Behavior 1,Behavior 2,Behavior 3,Behavior 4,Behavior 5,Core Needs 1,Core Needs 2,Core Needs 3,Core Needs 4,Core Needs 5
50 - 59,Parent,,Less than a year,Yes,60,12,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Good,Agree,Neutral,Disagree,Agree,Agree,12,Part-time employed,,,,,,,,,,,,
80 - 89,Other family member,,3 - 5 years,No,5,40,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Agree,Agree,Agree,Agree,Strongly agree,Agree,Below average,Neutral,Agree,Agree,Neutral,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Friend/Neighbor,,Less than a year,No,16,20,"In a home or apartment, with family or a roommate",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,None of the above,,,,,,,,,,,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Neutral,Below average,Disagree,Strongly disagree,Agree,Disagree,Neutral,20,Part-time employed,,,,,,,,,,,,
70 - 79,Friend/Neighbor,,1 - 2 years,Yes,10,40,"In a home or apartment, with family or a roommate",,,,,,Medical insurance,,,No,,,,Support groups,,,,,Accommodation from my employer,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,None of the above,,,,,,,,,,,Neutral,Disagree,Strongly disagree,Disagree,Disagree,Agree,Good,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,60,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,Support groups,Individual counseling to help cope with giving care,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Below average,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
90+,Other family member,,1 - 2 years,No,10,0,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,Individual counseling to help cope with giving care,,,,,,,,,,,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,,Setting boundaries with how much time I commit to caregiving,,,,,,Agree,Agree,Disagree,Disagree,Disagree,Agree,Good,Disagree,Agree,Agree,Disagree,Disagree,0,Retired,,,,,,,,,,,,
60 - 69,Spouse/Partner,,Over 5 years,Yes,21,21,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Good,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,21,Part-time employed,,,,,,,,,,,,
80 - 89,Parent,,3 - 5 years,Yes,55,40,"In their home or apartment, alone",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,Financial support,Accommodation from my employer,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Below average,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Other family member,,1 - 2 years,No,10,20,"They live with me, or another caregiver",,All the care they receive is free or donated,,"Pension, savings, or retirement fund",,Medical insurance,,,No,,,,,,,,Financial support,,,,,,,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,Depression,,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Average,Neutral,Disagree,Neutral,Agree,Disagree,20,Part-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,10,0,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,,support from other family members to help,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,,,Agree,Agree,Neutral,Agree,Agree,Agree,Average,Disagree,Disagree,Agree,Agree,Disagree,0,Retired,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,No,21,42,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund",,Medical insurance,,,No,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Good,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,42,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,12,40,"In a home or apartment, with family or a roommate",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,"Classes about giving care, such as giving medications",,,,,Support from my loved one鈥檚 physicians,,,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,,,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Neutral,Agree,Agree,Neutral,Agree,Average,Neutral,Disagree,Disagree,Neutral,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,10,40,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund",,,Long-term care insurance,,No,,,Help in getting access to services,,,,,,Accommodation from my employer,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,I need more help but don鈥檛 want to ask,,,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Average,Neutral,Agree,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,10,30,"They live with me, or another caregiver",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Excellent,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,30,Part-time employed,,,,,,,,,,,,
80 - 89,Other (please specify),grandmother,3 - 5 years,No,6,15,"In their home or apartment, alone",,,,,,,Long-term care insurance,,No,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,,,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Below average,Strongly agree,Agree,Agree,Agree,Strongly agree,15,Part-time employed,,,,,,,,,,,,
80 - 89,Other (please specify),Grandparent,3 - 5 years,No,16,27,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,"Classes about giving care, such as giving medications",,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Strongly agree,Strongly agree,Disagree,Agree,Agree,Neutral,Below average,Disagree,Strongly disagree,Neutral,Agree,Agree,27,Part-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,0,40,Nursing home or long-term care facility,,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,Emotional stress,,,,Loss of sleep,,,,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Below average,Agree,Disagree,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,1 - 2 years,No,8,40,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,Long-term care insurance,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Below average,Agree,Neutral,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Spouse/Partner,,3 - 5 years,Yes,20,0,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,,,Support from my loved one鈥檚 physicians,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Average,Neutral,Agree,Agree,Strongly agree,Agree,0,Retired,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,42,45,"In their home or apartment, alone",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,,,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Below average,Disagree,Agree,Agree,Agree,Agree,45,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,No,12,55,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,Help in getting access to services,Support groups,,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,"Classes about giving care, such as giving medications",,,,,Support from my loved one鈥檚 physicians,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,,,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Average,Strongly disagree,Neutral,Agree,Agree,Strongly agree,55,Full-time employed,,,,,,,,,,,,
70 - 79,Spouse/Partner,,3 - 5 years,Yes,40,0,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,Depression,,Agree,Agree,Disagree,Neutral,Agree,Neutral,Average,Strongly agree,Agree,Strongly disagree,Neutral,Agree,0,Retired,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,30,45,"In a home or apartment, with family or a roommate",,,,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,Help in getting access to services,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Average,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,45,Full-time employed,,,,,,,,,,,,
60 - 69,Friend/Neighbor,,3 - 5 years,No,6,30,"In their home or apartment, alone",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,I need more help but don鈥檛 want to ask,Depression,,Agree,Strongly agree,Neutral,Agree,Neutral,Neutral,Below average,Agree,Disagree,Agree,Neutral,Neutral,30,Part-time employed,,,,,,,,,,,,
80 - 89,Parent,,1 - 2 years,Yes,7,0,"In their home or apartment, alone",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,,Emotional stress,,,,,,,,Agree,Agree,Agree,Agree,Neutral,Neutral,Below average,Neutral,Strongly disagree,Agree,Neutral,Disagree,0,Retired,,,,,,,,,,,,
80 - 89,Other (please specify),Grandpa/Guardian,Less than a year,No,10,40,Other (please specify),Multiple family members lived together ,,Family contributions,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,"Classes about giving care, such as giving medications",,,Individual counseling to help cope with giving care,,,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,Depression,,Strongly agree,Disagree,Agree,Neutral,Agree,Strongly agree,Average,Neutral,Agree,Disagree,Strongly agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
20 - 29,Parent,,Less than a year,No,5,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,,,Accommodation from my employer,,None of the above,,,,,,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Agree,Agree,Disagree,Disagree,Agree,Below average,Disagree,Disagree,Neutral,Disagree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,No,8,20,In senior housing or a senior care community,,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,"Classes about giving care, such as giving medications",Help in getting access to services,,,,,Financial support,,My father (90) insists on paying me for gas and throws in a bit extra sometimes.,,,,,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,,,Emotional stress,,,,,I need more help but don鈥檛 want to ask,,My husband (60) was recently diagnosed with aggressive cancer & I need to help him too. I've had to ask for more help from my siblings and hire help occasionally.,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Below average,Neutral,Neutral,Agree,Agree,Strongly agree,20,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,7,35,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,,,,,Accommodation from my employer,"Classes about giving care, such as giving medications",,,,,,Financial support,,,,Physical demands,Emotional stress,,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Below average,Agree,Agree,Strongly agree,Neutral,Agree,35,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,Yes,25,40,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,,,,,,,,Emotional stress,,,,,I need more help but don鈥檛 want to ask,,,Agree,Agree,Neutral,Agree,Neutral,Agree,Below average,Disagree,Neutral,Disagree,Agree,Neutral,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,Yes,15,40,"In their home or apartment, alone",,All the care they receive is free or donated,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,"Classes about giving care, such as giving medications",,,Individual counseling to help cope with giving care,,,,,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Below average,Neutral,Strongly disagree,Agree,Strongly agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
80 - 89,Parent,,3 - 5 years,Yes,14,0,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,,,Support from my loved one鈥檚 physicians,,,,None of the above,,,,,,,,,,,,,Emotional stress,,,,,,Depression,,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Poor,Agree,Agree,Agree,Disagree,Agree,0,Retired,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,No,10,0,"In a home or apartment, with family or a roommate",,,,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,,,Emotional stress,,,,,,Depression,,Strongly agree,Agree,Agree,Disagree,Disagree,Neutral,Below average,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,0,Retired,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,Yes,8,20,"In their home or apartment, alone",,All the care they receive is free or donated,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,Yes,,,Help in getting access to services,,,,,,,,,,,,,,,Support from my loved one鈥檚 physicians,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,,,Strongly disagree,Disagree,Neutral,,Neutral,Agree,Average,Strongly agree,Disagree,Disagree,Disagree,Disagree,20,Part-time employed,,,,,,,,,,,,
60 - 69,Friend/Neighbor,,1 - 2 years,No,3,20,In senior housing or a senior care community,,,,,"Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,Help in getting access to services,,,,Support from my loved one鈥檚 physicians,,,,,,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,,,Neutral,Agree,Disagree,Disagree,Strongly disagree,Agree,Good,Agree,Strongly disagree,Strongly disagree,Agree,Agree,20,Part-time employed,,,,,,,,,,,,
60 - 69,Spouse/Partner,,Over 5 years,Yes,8,0,"They live with me, or another caregiver",,All the care they receive is free or donated,,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,"Classes about giving care, such as giving medications",,Support groups,,,,Financial support,,,,,Emotional stress,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Good,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,0,Retired,,,,,,,,,,,,
70 - 79,Other (please specify),daughter,Over 5 years,Yes,25,42,"In their home or apartment, alone",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,Support from my loved one鈥檚 physicians,,Accommodation from my employer,,,,,,,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,,I would love help from trainerd providers so that I am not the only one looking after my mother,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but don鈥檛 want to ask,Depression,,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Average,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,42,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,1 - 2 years,No,10,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,,Accommodation from my employer,,,,,,Support groups,,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,Loss of sleep,,,,Agree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Good,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,1 - 2 years,Yes,72,0,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,Support groups,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,Financial support,,,,,Emotional stress,,,,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Poor,Agree,Neutral,Disagree,Agree,Strongly agree,0,Retired,,,,,,,,,,,,
80 - 89,Other family member,,3 - 5 years,Yes,30,35,"They live with me, or another caregiver",,,Family contributions,,,Medical insurance,Long-term care insurance,,No,,,Help in getting access to services,,,,,Financial support,,,,Accommodation from my employer,,Help in getting access to services,Support groups,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,Loss of sleep,I need more help but don鈥檛 want to ask,,,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Below average,Neutral,Disagree,Neutral,Agree,Agree,35,Part-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,Yes,12,32,"In their home or apartment, alone",,,Family contributions,,,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,Support groups,Individual counseling to help cope with giving care,,,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,I need more help but don鈥檛 want to ask,,,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Good,Disagree,Disagree,Disagree,Agree,Agree,32,Part-time employed,,,,,,,,,,,,
50 - 59,Parent,,3 - 5 years,Yes,15,40,"In a home or apartment, with family or a roommate",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,None of the above,,,,,,,,,,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Below average,Agree,Agree,Agree,Strongly agree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Parent,,3 - 5 years,Yes,40,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund",,Medical insurance,,,No,,,,,Individual counseling to help cope with giving care,,Support from my loved one鈥檚 physicians,,,,,,,,,Individual counseling to help cope with giving care,,,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,Loss of sleep,,,,Agree,Agree,Disagree,Disagree,Disagree,Agree,Below average,Agree,Agree,Agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,No,10,15,"In a home or apartment, with family or a roommate",,,,"Pension, savings, or retirement fund",,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,,support and communication from other family members,,I feel obligated to help because no one else will,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Neutral,Good,Disagree,Disagree,Strongly agree,Strongly disagree,Agree,15,Part-time employed,,,,,,,,,,,,
70 - 79,Spouse/Partner,,3 - 5 years,Yes,25,60,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,,,,,,Respite care (short-term or long-term breaks for people who provide care),Support from my loved one鈥檚 physicians,,,,,,,,Support groups,Individual counseling to help cope with giving care,Respite care (short-term or long-term breaks for people who provide care),,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Average,Agree,Agree,Agree,,Agree,60,Full-time employed,,,,,,,,,,,,
